template_name,category,cash_flow_category,template_type,description,is_system,active,version,usage_count,last_used_at,semantic_description,keywords,example_merchants,typical_amount_min,typical_amount_max,merchant_patterns
Setoran Modal,RECEIPT,FINANCING,SIMPLE,Setoran modal dari pemilik/pemegang saham,false,true,1,0,,Gunakan template ini untuk mencatat setoran modal dari pemilik atau pemegang saham ke perusahaan.,modal|setoran|capital|investasi|equity,,10000000,5000000000,
Terima Uang Muka Pelanggan,RECEIPT,OPERATING,SIMPLE,Penerimaan uang muka (DP) dari pelanggan sebelum pengiriman,false,true,1,0,,Gunakan template ini untuk mencatat penerimaan uang muka/down payment dari pelanggan atas order material atau proyek. Menambah kas dan kewajiban uang muka.,uang muka|dp|down payment|advance|customer advance|terima dp,Pertamina|PLN|Pelanggan Industri,1000000,500000000,
Realisasi Pendapatan - Material,INCOME,OPERATING,DETAILED,Pengakuan pendapatan penjualan material saat delivery + HPP otomatis,false,true,1,0,,Gunakan template ini untuk mencatat pendapatan penjualan material (elektrikal/mekanikal/kabel/panel) lengkap dengan HPP otomatis. Variabel: revenueAmount (nilai jual) dan cogsAmount (HPP).,penjualan|sales|material|elektrikal|kabel|panel|delivery|do|invoice material,Pertamina|PLN|Kontraktor EPC,5000000,5000000000,
Realisasi Pendapatan - Jasa,INCOME,OPERATING,SIMPLE,Pengakuan pendapatan jasa instalasi atau engineering,false,true,1,0,,Gunakan template ini untuk mencatat pendapatan jasa instalasi atau jasa engineering. Berbeda dengan penjualan material karena tidak ada HPP persediaan.,jasa|service|instalasi|installation|engineering|komisioning|commissioning|maintenance,Pertamina|PLN|Pelanggan,5000000,2000000000,
Realisasi Pendapatan - Proyek EPC,INCOME,OPERATING,DETAILED,Pengakuan pendapatan proyek EPC (Engineering Procurement Construction),false,true,1,0,,Gunakan template ini untuk mencatat pendapatan proyek EPC. Termasuk komponen material dan jasa sekaligus. Variabel: revenueAmount (nilai proyek) dan cogsAmount (biaya proyek langsung).,proyek|epc|project|kontrak|contract|termin|progress billing,Pertamina|PLN|Anak Perusahaan BUMN,50000000,50000000000,
Kembalikan Uang Muka ke Pendapatan,TRANSFER,OPERATING,SIMPLE,Offset uang muka pelanggan saat invoice diterbitkan,false,true,1,0,,Gunakan template ini untuk menggeser uang muka pelanggan menjadi pendapatan ketika invoice final diterbitkan setelah delivery/BAST. Mengurangi liabilitas uang muka.,offset uang muka|realisasi dp|invoice final|bast|serah terima,,1000000,500000000,
Terima Pembayaran Piutang,RECEIPT,OPERATING,SIMPLE,Penerimaan pembayaran dari pelanggan atas invoice yang sudah jatuh tempo,false,true,1,0,,Gunakan template ini untuk mencatat penerimaan pembayaran dari pelanggan (collection). Mengurangi piutang usaha dan menambah kas/bank.,bayar piutang|collection|pelunasan|pembayaran invoice|payment|transfer masuk,Pertamina|PLN|Kontraktor,5000000,5000000000,
Terima Pembayaran Retensi,RECEIPT,OPERATING,SIMPLE,Penerimaan pembayaran retensi setelah masa pemeliharaan selesai,false,true,1,0,,Gunakan template ini untuk mencatat penerimaan retensi (biasanya 5-10% dari nilai kontrak) setelah masa pemeliharaan selesai.,retensi|retention|masa pemeliharaan|defect liability period|pelunasan retensi,,1000000,500000000,
Pembelian Material - Tunai,EXPENSE,OPERATING,SIMPLE,Pembelian material dengan pembayaran tunai ke supplier,false,true,1,0,,Gunakan template ini untuk mencatat pembelian material secara tunai dari supplier. Menambah persediaan dan mengurangi kas.,beli material|purchase|pembelian tunai|cash purchase|material elektrikal|kabel|panel,Schneider|Siemens|ABB|Distributor,1000000,500000000,
Pembelian Material - Kredit,EXPENSE,OPERATING,SIMPLE,Pembelian material dengan hutang ke supplier (Purchase Order),false,true,1,0,,Gunakan template ini untuk mencatat pembelian material secara kredit dari supplier berdasarkan Purchase Order. Menambah persediaan dan hutang usaha.,beli kredit|hutang supplier|po|purchase order|material kredit|goods receipt,Schneider|Siemens|ABB|Distributor,1000000,1000000000,
Bayar Uang Muka ke Supplier,PAYMENT,OPERATING,SIMPLE,Pembayaran uang muka ke supplier sebelum barang dikirim,false,true,1,0,,Gunakan template ini untuk mencatat pembayaran uang muka/DP ke supplier sebelum barang diterima. Mengurangi kas dan menambah aset uang muka supplier.,uang muka supplier|dp supplier|advance to supplier|po advance|dp ke supplier,,1000000,500000000,
Realisasi Uang Muka Supplier,TRANSFER,OPERATING,SIMPLE,Offset uang muka supplier saat goods receipt diterima,false,true,1,0,,Gunakan template ini untuk menggeser uang muka supplier menjadi pengurang hutang usaha saat barang sudah diterima.,realisasi uang muka supplier|offset dp supplier|goods receipt|gr,,1000000,500000000,
Bayar Hutang Supplier,PAYMENT,OPERATING,SIMPLE,Pembayaran hutang usaha ke supplier atas invoice yang sudah jatuh tempo,false,true,1,0,,Gunakan template ini untuk mencatat pembayaran hutang ke supplier. Mengurangi hutang usaha dan kas/bank.,bayar hutang|hutang supplier|pelunasan po|supplier payment|transfer keluar,Schneider|Siemens|ABB|Distributor,1000000,1000000000,
Biaya Proyek Langsung,EXPENSE,OPERATING,SIMPLE,Pencatatan biaya langsung proyek (tenaga kerja subkon dll),false,true,1,0,,Gunakan template ini untuk mencatat biaya langsung proyek seperti biaya tenaga kerja lapangan subkontraktor sewa alat dan biaya operasional proyek lainnya.,biaya proyek|project cost|subkon|subkontraktor|tenaga kerja lapangan|sewa alat proyek,,500000,100000000,
Biaya Tender,EXPENSE,OPERATING,SIMPLE,Pencatatan biaya yang timbul dari proses tender dan estimasi,false,true,1,0,,Gunakan template ini untuk mencatat biaya tender seperti biaya pembelian dokumen tender biaya estimasi material dan biaya administrasi tender.,biaya tender|tender cost|estimasi|bid|rfq|dokumen tender,,100000,10000000,
Bayar Gaji,EXPENSE,OPERATING,SIMPLE,Pembayaran gaji bulanan karyawan,false,true,1,0,,Gunakan template ini untuk mencatat pembayaran gaji karyawan. Terpisah dari posting payroll.,gaji|salary|upah|honor|staff|engineer|teknisi|karyawan,Transfer Gaji|BCA|Mandiri,2000000,50000000,
